reference_no,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_jobs
7726,Siemens,Data Engineer,1,12.9L,6.8L,16.0L,14
8755,Mu Sigma,Data Engineer,1,8.4L,5.5L,12.0L,13
2147,Expedia,Data Engineer,4,27.6L,20.0L,40.0L,13
2567,Decision Point,Data Engineer,0,5.9L,4.8L,7.0L,13
8059,Adidas,Data Engineer,1,23.0L,14.5L,34.0L,13
5990,Nokia,Data Engineer,1,10.7L,3.6L,24.5L,13
5708,Oil Field Instrumentation,Data Engineer,6,6.9L,1.2L,11.1L,13
5566,Atos,Data Engineer,2,8.5L,3.7L,17.8L,13
5427,Bitwise Solutions,Data Engineer,0,6.1L,3.8L,9.0L,13
8208,Ford Motor,Data Engineer,0,10.1L,5.7L,15.9L,13
4158,Persistent Systems,Data Engineer,1,11.6L,4.2L,20.4L,13
3401,Indium Software,Data Engineer,0,6.8L,3.6L,11.5L,13
8353,Citicorp,Data Engineer,2,17.9L,13.5L,20.0L,13
5406,The Data Team,Data Engineer,1,11.5L,8.5L,15.0L,13
2086,Cittabase Solutions,Data Engineer,3,7.9L,5.0L,10.3L,13
3700,NIKE,Data Engineer,3,21.3L,14.1L,29.0L,13
1105,Kyndryl,Data Engineer,2,12.8L,8.5L,16.0L,13
2377,Dunnhumby,Data Engineer,1,12.3L,8.7L,18.5L,12
7558,Advance Auto Parts,Data Engineer,3,13.3L,10.2L,15.5L,12
1092,Rackspace,Data Engineer,3,16.3L,11.0L,21.6L,12
3271,Tredence,Data Engineer,2,11.4L,7.0L,16.0L,12
4433,Expert Global Solutions,Data Engineer,0,2.1L,1.1L,3.1L,12
2256,Cerner,Data Engineer,2,9.9L,6.0L,14.0L,12
3995,Searce Cosourcing Services,Data Engineer,1,7.4L,5.0L,12.5L,12
7725,Eli Lilly and Company,Data Engineer,3,18.4L,16.0L,22.0L,12
4723,ValueMomentum,Data Engineer,1,10.6L,4.5L,21.3L,12
4253,InfoStretch,Data Engineer,1,10.5L,4.2L,18.0L,12
4383,Nagarro,Data Engineer,2,13.1L,7.0L,25.0L,12
3800,KPI Partners,Data Engineer,1,12.0L,5.0L,22.0L,12
6560,HSBC,Data Engineer,1,9.7L,6.5L,18.0L,12
4334,Bosch Global Software Technologies,Data Engineer,1,7.1L,3.8L,14.0L,11
5251,Axtria,Data Engineer,1,11.4L,7.5L,15.3L,11
8444,Visa,Data Engineer,1,28.7L,16.5L,37.0L,11
2213,Happiest Minds Technologies,Data Engineer,0,8.0L,4.0L,14.8L,11
4178,BYJU'S,Data Engineer,1,9.7L,4.5L,19.5L,11
4306,Yash Technologies,Data Engineer,0,5.3L,3.2L,8.0L,11
5751,GE Digital,Data Engineer,4,12.6L,8.3L,18.3L,11
4373,GSK Pharmaceuticals,Data Engineer,5,23.1L,19.0L,27.0L,11
3072,Rakuten,Data Engineer,0,13.3L,8.5L,18.5L,11
8897,InnovAccer,Data Engineer,1,8.2L,5.0L,15.0L,11
7854,nThrive Global Solutions,Data Engineer,2,11.8L,7.8L,17.6L,11
7944,AI Touch,Data Engineer,0,2.3L,2.0L,3.0L,11
8022,Autodesk,Data Engineer,0,26.5L,6.4L,40.0L,11
6985,Knoema IT Solutions,Data Engineer,0,3.3L,2.0L,4.1L,11
5736,Ecolab Digital Center,Data Engineer,2,11.5L,8.5L,18.0L,11
7251,Apple,Data Engineer,3,25.0L,17.0L,35.0L,11
6029,AVASOFT,Data Engineer,0,4.0L,3.5L,4.9L,10
8998,i2e Consulting,Data Engineer,2,13.1L,9.0L,16.5L,10
2834,Birlasoft,Data Engineer,2,11.1L,5.2L,20.1L,10
5859,EPAM Systems,Data Engineer,4,17.3L,8.8L,24.0L,10
5390,Xyz Company,Data Engineer,1,12.3L,6.0L,21.0L,10
2744,Colgate Palmolive,Data Engineer,1,10.7L,6.0L,15.0L,10
7828,BCG,Data Engineer,2,17.2L,14.5L,19.5L,10
5835,Apisero,Data Engineer,1,13.5L,8.0L,18.0L,10
5599,Fidelity Investment,Data Engineer,1,13.3L,11.0L,16.7L,10
7336,Oracle,Data Engineer,2,14.6L,7.0L,25.0L,10
2072,Accion Labs,Data Engineer,3,18.1L,8.0L,30.0L,9
5169,Dun & Bradstreet,Data Engineer,3,11.4L,8.6L,15.4L,9
6912,Webhelp,Data Engineer,3,10.7L,8.5L,14.0L,9
5376,Ags Infotech,Data Engineer,2,5.0L,4.4L,5.5L,9
6069,Synechron,Data Engineer,4,17.3L,12.5L,24.0L,9
4641,GEP Worldwide,Data Engineer,2,13.0L,10.1L,15.0L,9
4668,Principal Global Services,Data Engineer,1,10.2L,9.5L,11.1L,9
3137,Algonomy,Data Engineer,1,7.5L,5.0L,13.6L,9
5165,Sigmoid Analytics,Data Engineer,1,15.0L,12.8L,18.5L,9
5935,Vodafone Idea,Data Engineer,1,11.2L,2.1L,18.0L,9
5048,Clairvoyant India,Data Engineer,2,10.5L,5.0L,17.0L,9
7774,Aktrix Technologies,Data Engineer,0,4.1L,3.0L,5.5L,9
6283,ThoughtWorks,Data Engineer,1,15.7L,10.0L,19.4L,9
8752,DUNNHUMBY IT SERVICES INDIA,Data Engineer,1,11.9L,9.0L,14.9L,9
8937,Baker Hughes,Data Engineer,3,14.8L,12.0L,16.5L,9
1144,Denodo Technologies,Data Engineer,0,8.0L,6.0L,10.5L,9
8625,Hashedin By Deloitte,Data Engineer,2,15.0L,11.1L,19.0L,9
5240,Red Hat,Data Engineer,2,12.4L,4.5L,17.6L,8
3833,HDFC Bank,Data Engineer,2,9.0L,6.5L,12.5L,8
4637,Accenture,Senior Data Scientist,3,18.9L,10.5L,30.5L,80
6847,TCS,Senior Data Scientist,4,16.7L,8.6L,30.0L,79
8996,Cognizant,Senior Data Scientist,4,17.9L,12.0L,25.2L,57
5663,Fractal Analytics,Senior Data Scientist,4,25.6L,18.0L,32.0L,47
6528,Ab Inbev,Senior Data Scientist,3,28.0L,22.0L,35.0L,44
1748,Wipro,Senior Data Scientist,4,16.1L,8.0L,30.0L,43
6043,Deloitte,Senior Data Scientist,5,21.2L,14.0L,35.0L,42
6193,Walmart,Senior Data Scientist,5,43.0L,30.0L,65.0L,32
2608,Amazon,Senior Data Scientist,5,41.5L,26.0L,75.0L,30
3673,UnitedHealth,Senior Data Scientist,4,23.0L,15.6L,30.5L,30
4333,Ernst & Young,Senior Data Scientist,4,21.4L,15.0L,30.0L,29
2627,Optum,Senior Data Scientist,5,26.2L,18.0L,36.0L,28
3051,Impact Analytics,Senior Data Scientist,2,13.4L,9.0L,19.0L,28
1513,Incedo,Senior Data Scientist,3,18.9L,15.0L,25.0L,26
5422,IBM,Senior Data Scientist,5,24.4L,14.0L,36.0L,25
2450,Target,Senior Data Scientist,2,23.8L,15.5L,30.0L,25
7062,Infosys,Senior Data Scientist,4,18.1L,9.0L,30.0L,25
5031,TVS Credit Services,Senior Data Scientist,4,14.7L,11.5L,21.0L,24
6880,Ericsson,Senior Data Scientist,7,30.2L,14.2L,50.6L,22
4852,Microsoft Corporation,Senior Data Scientist,4,56.4L,30.0L,100.0L,22
2822,HCL Technologies,Senior Data Scientist,4,19.3L,14.4L,25.0L,22
1796,Capgemini,Senior Data Scientist,4,16.8L,11.5L,26.0L,22
4469,Dunnhumby,Senior Data Scientist,3,15.4L,12.0L,22.0L,21
1406,Birlasoft,Senior Data Scientist,3,14.3L,8.0L,22.3L,20
2826,Tech Mahindra,Senior Data Scientist,4,16.4L,7.1L,25.0L,20
5305,Affine Analytics,Senior Data Scientist,1,9.9L,7.6L,16.0L,20
4608,Wolters Kluwer,Senior Data Scientist,6,23.7L,18.0L,30.0L,19
1636,Harman Connected Services,Senior Data Scientist,4,16.0L,11.5L,22.0L,19
4035,L&T Infotech,Senior Data Scientist,2,20.0L,12.3L,28.0L,19
4536,Reliance jio,Senior Data Scientist,4,30.0L,18.5L,46.0L,18
7545,Sapient Corporation,Senior Data Scientist,2,21.1L,14.2L,28.5L,18
4871,Coforge,Senior Data Scientist,4,15.0L,15.0L,15.2L,18
3769,Lowe's,Senior Data Scientist,4,25.0L,16.0L,33.0L,17
5206,Blue Yonder,Senior Data Scientist,2,31.6L,18.0L,50.0L,17
2399,Bosch Global Software Technologies,Senior Data Scientist,2,24.1L,16.1L,30.0L,16
5977,Nielsen,Senior Data Scientist,2,9.9L,7.9L,13.7L,16
8313,Oracle,Senior Data Scientist,3,25.2L,20.0L,37.0L,16
1048,Happiest Minds Technologies,Senior Data Scientist,5,16.4L,9.0L,26.0L,15
6876,DXC Technology,Senior Data Scientist,7,17.1L,11.0L,25.0L,15
8746,PayPal,Senior Data Scientist,6,40.7L,30.0L,45.0L,15
3412,Citibank,Senior Data Scientist,4,22.8L,16.0L,30.0L,15
3232,Innominds Software,Senior Data Scientist,4,18.6L,13.5L,27.5L,14
7628,Bajaj Finserv,Senior Data Scientist,1,17.6L,10.0L,27.8L,14
6757,Honeywell Technology Solutions,Senior Data Scientist,2,18.4L,10.0L,35.0L,14
8691,eClerx,Senior Data Scientist,2,15.3L,11.0L,21.6L,14
2056,VMware Software,Senior Data Scientist,2,23.1L,16.0L,36.5L,14
3305,PwC,Senior Data Scientist,4,21.2L,13.0L,30.0L,14
3024,EXL Service,Senior Data Scientist,3,19.5L,14.5L,30.0L,13
6387,Mercedes-Benz Research & Development India,Senior Data Scientist,3,18.0L,10.0L,35.0L,13
3184,Mindtree,Senior Data Scientist,5,17.8L,9.0L,28.1L,13
2768,Wells Fargo India,Senior Data Scientist,5,23.1L,14.0L,30.0L,13
8216,Genpact,Senior Data Scientist,4,24.2L,10.0L,35.0L,12
7790,Course5,Senior Data Scientist,3,11.7L,9.0L,17.0L,12
6413,JP Morgan Chase,Senior Data Scientist,5,27.7L,14.0L,51.0L,12
5608,MasterCard,Senior Data Scientist,2,25.5L,18.2L,36.0L,12
3133,GE Healthcare,Senior Data Scientist,3,28.0L,24.0L,33.0L,11
6009,IHS Markit,Senior Data Scientist,5,22.5L,16.0L,29.0L,11
5677,NIIT Technologies,Senior Data Scientist,2,15.3L,15.0L,16.0L,11
8520,Gramener,Senior Data Scientist,2,14.4L,10.0L,20.8L,11
8214,Ford Motor,Senior Data Scientist,4,17.6L,16.4L,19.5L,11
5154,TheMathCompany,Senior Data Scientist,4,14.8L,12.0L,18.0L,11
8311,Legato Health Technologies,Senior Data Scientist,4,21.2L,15.6L,26.0L,11
4278,Dell,Senior Data Scientist,3,23.2L,15.0L,32.0L,11
7282,Great Learning,Senior Data Scientist,3,12.3L,11.0L,14.0L,11
1989,Morningstar,Senior Data Scientist,4,19.7L,16.2L,24.6L,10
8572,Hewlett-Packard Enterprise,Senior Data Scientist,3,20.7L,17.0L,30.0L,10
7915,Tredence,Senior Data Scientist,3,18.4L,12.4L,26.0L,10
1971,UST,Senior Data Scientist,3,12.1L,10.3L,16.0L,10
2856,ValueLabs,Senior Data Scientist,3,21.1L,10.3L,26.5L,10
8839,Novartis Healthcare,Senior Data Scientist,5,30.5L,16.0L,51.0L,10
7769,Vodafone Idea,Senior Data Scientist,4,22.7L,13.1L,32.7L,10
7832,Nagarro,Senior Data Scientist,2,18.0L,14.3L,25.0L,10
8202,HERE Technologies,Senior Data Scientist,6,27.1L,22.5L,30.0L,9
1426,Globant,Senior Data Scientist,2,17.8L,13.0L,26.0L,9
4581,Baker Hughes,Senior Data Scientist,3,27.4L,23.0L,32.0L,9
7782,Tiger Analytics,Senior Data Scientist,5,22.2L,18.0L,27.5L,9
6515,Epsilon,Senior Data Scientist,4,23.2L,19.0L,26.0L,8
7872,AntWorks,Senior Data Scientist,3,20.6L,14.0L,30.0L,8
5128,Altimetrik,Senior Data Scientist,4,18.3L,12.0L,26.0L,8
8414,Info Edge,Senior Data Scientist,1,30.9L,21.0L,37.0L,8
8715,Sigmoid Analytics,Senior Data Scientist,2,22.5L,15.0L,30.0L,8
4765,Eli Lilly and Company,Senior Data Scientist,4,26.8L,22.5L,32.0L,8
1857,Lam Research,Senior Data Scientist,3,16.5L,13.9L,20.0L,8
2400,GE Aviation,Senior Data Scientist,5,22.1L,14.5L,29.0L,8
5007,Iris Software,Senior Data Scientist,6,23.0L,17.0L,27.0L,8
1303,Claim Genius,Senior Data Scientist,3,21.4L,18.4L,27.0L,8
6735,ZS,Senior Data Scientist,1,18.0L,14.5L,24.0L,8
7619,Mphasis,Senior Data Scientist,2,13.3L,11.0L,15.4L,8
8261,NielsenIQ,Senior Data Scientist,3,8.7L,8.0L,9.4L,8
1570,Mu Sigma,Senior Data Scientist,3,14.5L,12.3L,15.0L,7
6276,BNY Mellon,Senior Data Scientist,1,16.9L,5.2L,25.0L,7
3583,Yash Technologies,Senior Data Scientist,5,18.4L,12.1L,23.5L,7
8310,Franklin Templeton Investments,Senior Data Scientist,7,27.3L,22.0L,32.0L,7
5918,Philips,Senior Data Scientist,5,22.6L,19.0L,25.9L,7
8828,DBS Bank,Senior Data Scientist,4,20.6L,16.5L,25.0L,7
5587,International School of Engineering,Senior Data Scientist,9,20.2L,15.0L,25.0L,7
4169,Johnson Controls,Senior Data Scientist,4,25.1L,18.5L,32.0L,7
1175,Bajaj Finance,Senior Data Scientist,1,20.0L,16.0L,30.0L,7
4121,Ganit Business Solutions,Senior Data Scientist,5,18.9L,15.5L,21.5L,7
2917,Xoriant,Senior Data Scientist,6,18.6L,15.0L,23.5L,7
1792,o9 Solutions,Senior Data Scientist,4,21.5L,13.5L,28.0L,7
8525,Verizon,Senior Data Scientist,7,26.7L,11.0L,37.0L,6
7251,Shell,Senior Data Scientist,6,29.8L,22.0L,35.5L,6
7877,Zensar Technologies,Senior Data Scientist,4,18.2L,14.0L,22.0L,6
3689,McKinsey & Company,Senior Data Scientist,6,18.2L,1.0L,31.0L,6
6252,Apexon,Senior Data Scientist,4,10.3L,9.0L,11.1L,6
4268,GE,Senior Data Scientist,4,23.1L,16.0L,30.0L,6
5440,Johnson & Johnson,Senior Data Scientist,5,24.1L,17.0L,35.0L,6
1127,Cerner,Senior Data Scientist,6,28.9L,23.7L,35.8L,6
1233,Algonomy,Senior Data Scientist,2,28.3L,23.0L,32.0L,6
2330,Ecolab Food Safety & Hygiene Solutions,Senior Data Scientist,4,13.9L,11.5L,18.0L,6
6063,L&T Technology Services,Senior Data Scientist,4,15.2L,9.0L,24.0L,6
3956,American Express,Senior Data Scientist,3,23.3L,22.0L,25.1L,6
4716,Yum!,Senior Data Scientist,2,15.3L,11.0L,17.8L,6
8277,Indium Software,Senior Data Scientist,2,14.5L,8.8L,20.0L,6
6415,Cummins,Senior Data Scientist,3,23.2L,17.8L,29.9L,6
5071,Eversana,Senior Data Scientist,4,14.3L,12.0L,17.8L,6
3850,Paytm,Senior Data Scientist,3,31.6L,27.0L,40.0L,6
5470,Citicorp,Senior Data Scientist,6,28.3L,21.0L,35.0L,6
4053,Quantium Analytics,Senior Data Scientist,5,25.0L,24.0L,27.0L,6
1323,MKS Vision,Senior Data Scientist,7,18.1L,15.0L,22.0L,6
7743,Oyo Rooms,Senior Data Scientist,3,31.0L,20.0L,42.0L,5
1930,Yodlee,Senior Data Scientist,2,32.1L,27.0L,36.0L,5
6013,CitiusTech,Senior Data Scientist,7,17.8L,15.0L,19.5L,5
6927,SAP,Senior Data Scientist,7,36.6L,17.2L,51.0L,5
5030,Teleperformance,Senior Data Scientist,3,16.2L,10.0L,20.0L,5
2427,V2 Solutions,Senior Data Scientist,2,8.5L,8.5L,8.6L,5
8211,Dun & Bradstreet,Senior Data Scientist,2,11.9L,9.5L,13.5L,5
7934,Nvidia,Senior Data Scientist,2,21.3L,10.0L,28.0L,5
5531,AlgoAnalytics Financial Consultancy,Senior Data Scientist,3,18.9L,16.5L,20.7L,5
8873,Reliance Industries,Senior Data Scientist,5,10.0L,9.0L,11.0L,5
3536,Scienaptic Systems,Senior Data Scientist,6,19.7L,15.0L,23.5L,5
8710,Freelance Consultants,Senior Data Scientist,7,31.7L,18.6L,42.0L,5
1576,Decision Point,Senior Data Scientist,3,22.4L,19.0L,25.0L,5
7203,IDFC FIRST Bank,Senior Data Scientist,4,20.8L,14.0L,26.0L,5
8637,Thomson Reuters,Senior Data Scientist,4,18.4L,10.0L,27.5L,5
6054,Synechron,Senior Data Scientist,3,12.0L,9.5L,16.0L,5
5117,Akamai Technologies,Senior Data Scientist,4,27.3L,22.5L,34.0L,5
2993,Quest Global,Senior Data Scientist,4,22.8L,14.0L,41.0L,5
7783,GEP Worldwide,Senior Data Scientist,6,24.4L,22.0L,32.0L,5
7361,Hinduja Global Solutions,Senior Data Scientist,3,15.6L,4.0L,24.7L,5
7586,ACL Digital,Senior Data Scientist,3,18.8L,10.7L,25.0L,5
7673,Innova Solutions,Senior Data Scientist,4,39.7L,6.0L,97.0L,5
8988,Automatic Data Processing,Senior Data Scientist,9,34.4L,27.0L,39.4L,5
3559,Brillio,Senior Data Scientist,4,21.2L,12.0L,34.0L,5
8533,Boeing,Senior Data Scientist,8,27.6L,25.2L,30.0L,5
3530,Flipkart,Senior Data Scientist,5,82.0L,55.0L,100.0L,5
7995,ITC Infotech India,Senior Data Scientist,3,14.9L,12.0L,18.5L,5
7241,Decision Minds,Senior Data Scientist,5,19.0L,13.0L,22.4L,5
8716,Neal Analytics,Senior Data Scientist,4,23.6L,21.0L,29.0L,5
1258,HALODOC,Senior Data Scientist,2,27.4L,18.0L,38.0L,5
7097,Samsung Research,Senior Data Scientist,2,31.7L,20.5L,40.0L,5
6705,Neewee Analytics,Senior Data Scientist,3,14.9L,12.1L,21.5L,5
1953,Subex,Senior Data Scientist,4,25.2L,11.8L,37.0L,5
6860,BCG,Senior Data Scientist,3,20.2L,19.8L,21.5L,5
8110,Hitachi Vantara,Senior Data Scientist,7,24.6L,18.7L,35.0L,5
5292,ZF Group,Senior Data Scientist,2,16.8L,14.5L,20.3L,5
1651,DUNNHUMBY IT SERVICES INDIA,Senior Data Scientist,2,12.3L,11.0L,15.0L,5
7071,Decimal Point Analytics,Senior Data Scientist,2,20.2L,12.2L,24.0L,5
5831,Koch Business Solutions,Senior Data Scientist,4,39.6L,23.0L,51.0L,5
8995,Noodle.Ai,Senior Data Scientist,2,21.7L,18.0L,26.0L,5
2410,Publicis,Senior Data Scientist,5,18.0L,15.0L,28.0L,5
3485,Ecolab Digital Center,Senior Data Scientist,4,22.7L,19.3L,26.1L,5
6779,PepsiCo,Senior Data Scientist,8,29.5L,19.0L,39.5L,5
8055,TEKsystems,Senior Data Scientist,3,18.2L,9.0L,23.0L,5
6706,Chubb Group,Senior Data Scientist,4,16.6L,13.5L,21.0L,5
4224,Amnet Digital,Senior Data Scientist,2,11.8L,1.0L,18.0L,5
7913,Blend360,Senior Data Scientist,5,30.4L,26.3L,35.0L,5
2607,Kyndryl,Senior Data Scientist,3,44.4L,11.6L,93.0L,5
6579,HSBC,Senior Data Scientist,0,24.6L,22.0L,28.0L,5
6967,Chegg,Senior Data Scientist,3,32.2L,29.9L,35.0L,5
1872,First Source,Senior Data Scientist,10,29.0L,28.0L,30.0L,4
5957,Caterpillar Inc,Senior Data Scientist,9,22.8L,20.3L,24.0L,4
2963,Pitney Bowes,Senior Data Scientist,3,17.5L,14.1L,22.0L,4
5691,MSCI,Senior Data Scientist,6,38.4L,35.4L,42.0L,4
7698,Accolite Digital,Senior Data Scientist,2,12.8L,11.0L,14.0L,4
1187,Adobe,Senior Data Scientist,8,40.0L,30.0L,50.0L,4
5430,Omega Healthcare,Senior Data Scientist,7,14.1L,10.8L,15.8L,4
4444,Western Union,Senior Data Scientist,4,22.2L,20.0L,25.0L,4
3757,HDFC Bank,Senior Data Scientist,6,25.1L,15.2L,33.0L,4
5615,Tata Motors,Senior Data Scientist,4,11.5L,5.8L,14.0L,4
1099,EdgeVerve Systems,Senior Data Scientist,5,20.4L,12.0L,27.5L,4
3183,Aditya Birla Group,Senior Data Scientist,7,28.0L,26.0L,30.0L,4
1012,Commonwealth Bank of Australia,Senior Data Scientist,4,31.8L,27.0L,35.0L,4
7529,Swiss Re,Senior Data Scientist,5,26.9L,11.9L,34.5L,4
3314,TCS,Senior Business Analyst,3,7.7L,3.5L,14.0L,1100
5537,Accenture,Senior Business Analyst,3,10.3L,5.5L,15.4L,1100
5680,Evalueserve,Senior Business Analyst,2,9.8L,7.1L,13.8L,1000
2340,Cognizant,Senior Business Analyst,2,13.9L,9.0L,18.7L,616
3264,HCL Technologies,Senior Business Analyst,4,11.9L,6.4L,18.5L,384
7302,Tech Mahindra,Senior Business Analyst,4,9.9L,5.5L,16.5L,382
4176,EXL Service,Senior Business Analyst,2,8.8L,6.2L,12.0L,308
8782,Wipro,Senior Business Analyst,4,12.8L,6.1L,22.0L,280
4282,Fidelity National Information Services,Senior Business Analyst,4,15.0L,6.5L,22.0L,267
8284,Cgi Group,Senior Business Analyst,5,10.7L,7.2L,15.0L,225
4066,L&T Infotech,Senior Business Analyst,3,11.7L,7.0L,17.3L,223
5476,HSBC,Senior Business Analyst,6,17.1L,9.2L,24.0L,219
3490,Capgemini,Senior Business Analyst,2,11.6L,4.5L,20.0L,213
6916,Newgen Software Technologies,Senior Business Analyst,3,11.1L,9.0L,14.4L,170
5322,IBM,Senior Business Analyst,3,12.4L,5.1L,22.0L,158
2591,Quantiphi Analytics Solutions,Senior Business Analyst,2,15.0L,11.3L,19.0L,152
4115,Tredence,Senior Business Analyst,2,11.2L,9.0L,14.0L,150
6000,Conduent,Senior Business Analyst,4,8.8L,6.0L,13.0L,146
3354,Temenos,Senior Business Analyst,5,13.2L,9.5L,17.1L,145
6839,Amadeus,Senior Business Analyst,4,14.8L,12.0L,18.5L,128
7669,Infosys,Senior Business Analyst,4,12.9L,7.0L,21.0L,128
8148,American Express,Senior Business Analyst,2,9.2L,5.0L,18.5L,118
2355,Deloitte,Senior Business Analyst,3,11.5L,6.8L,20.0L,118
5271,DXC Technology,Senior Business Analyst,5,12.0L,7.0L,19.0L,117
2420,Ernst & Young,Senior Business Analyst,3,14.1L,6.3L,22.7L,110
1879,Exl India,Senior Business Analyst,1,9.0L,6.8L,12.0L,109
2579,bnp paribas india solutions,Senior Business Analyst,6,14.6L,8.6L,21.0L,94
5015,VMware Software,Senior Business Analyst,6,18.5L,11.7L,24.8L,92
4510,Zensar Technologies,Senior Business Analyst,5,12.1L,7.5L,19.5L,91
1740,Ramco Systems,Senior Business Analyst,3,12.7L,8.7L,18.0L,90
3672,Dell,Senior Business Analyst,2,11.6L,8.5L,15.5L,84
2044,JP Morgan Chase,Senior Business Analyst,4,12.3L,5.1L,23.0L,84
4426,UnitedHealth,Senior Business Analyst,3,12.5L,7.0L,19.2L,83
6237,BNP Paribas,Senior Business Analyst,6,15.8L,9.5L,24.0L,82
8896,NTT DATA,Senior Business Analyst,4,10.9L,6.1L,19.0L,80
5686,Flipkart,Senior Business Analyst,3,20.4L,14.0L,27.5L,79
8628,Oracle,Senior Business Analyst,4,10.2L,5.1L,22.0L,79
8681,Merkle Sokrati,Senior Business Analyst,1,7.0L,6.2L,8.4L,76
7222,Societe Generale,Senior Business Analyst,5,15.2L,7.1L,22.5L,74
3712,NatWest Group,Senior Business Analyst,3,11.1L,4.3L,23.2L,71
5392,Allianz Technology,Senior Business Analyst,5,11.9L,8.0L,16.0L,69
6869,Hexaware Technologies,Senior Business Analyst,4,9.7L,4.0L,19.0L,68
5065,Amazon,Senior Business Analyst,3,20.1L,4.5L,30.0L,67
4438,EPAM Systems,Senior Business Analyst,7,21.9L,17.0L,25.5L,64
7547,Deutsche Bank,Senior Business Analyst,4,7.2L,5.0L,12.5L,64
5261,BNY Mellon,Senior Business Analyst,4,8.7L,5.1L,15.0L,63
7279,Legato Health Technologies,Senior Business Analyst,5,14.6L,9.4L,20.0L,63
8217,Iris Software,Senior Business Analyst,7,20.5L,15.5L,27.0L,63
8704,NetCracker,Senior Business Analyst,10,28.0L,21.0L,36.0L,62
7026,Globant,Senior Business Analyst,5,16.7L,12.7L,20.8L,62
6295,Genpact,Senior Business Analyst,3,8.0L,4.1L,16.4L,62
6209,Broadridge Financial Solutions,Senior Business Analyst,3,10.8L,7.2L,16.0L,62
6702,Credit Suisse,Senior Business Analyst,4,16.3L,10.0L,23.4L,62
1245,Tiger Analytics,Senior Business Analyst,2,13.8L,11.5L,15.0L,61
4222,Novartis Healthcare,Senior Business Analyst,3,13.0L,9.5L,18.0L,58
6565,Standard Chartered Bank,Senior Business Analyst,3,15.0L,4.1L,30.0L,56
5672,Wells Fargo India,Senior Business Analyst,5,15.5L,8.5L,23.6L,55
8626,Shell,Senior Business Analyst,7,25.6L,15.5L,35.2L,53
4665,Synechron,Senior Business Analyst,6,17.6L,9.8L,25.0L,53
5949,GEP Worldwide,Senior Business Analyst,2,10.3L,6.8L,12.3L,52
2936,3i Infotech,Senior Business Analyst,4,10.8L,6.9L,16.1L,51
3550,ValueMomentum,Senior Business Analyst,4,12.0L,8.5L,18.5L,50
1297,Mphasis,Senior Business Analyst,3,12.6L,4.2L,20.0L,50
5028,Capita,Senior Business Analyst,5,12.6L,7.0L,17.0L,49
6966,UST,Senior Business Analyst,5,13.4L,9.0L,20.0L,49
5855,Citicorp,Senior Business Analyst,3,15.7L,6.0L,25.0L,49
8478,Optum,Senior Business Analyst,4,13.3L,5.5L,19.8L,47
2785,Barclays,Senior Business Analyst,3,14.2L,7.1L,22.7L,47
4269,IQVIA,Senior Business Analyst,5,17.7L,11.3L,26.5L,47
1209,Epsilon,Senior Business Analyst,5,14.5L,10.0L,18.2L,46
4031,Etech Global Services,Senior Business Analyst,3,9.2L,7.0L,12.1L,46
2872,Sapiens,Senior Business Analyst,5,18.0L,13.8L,22.7L,44
8625,Concentrix Corporation,Senior Business Analyst,2,3.7L,2.7L,6.2L,43
4805,IBS Software Services,Senior Business Analyst,2,6.2L,4.3L,8.3L,42
5531,Hewlett-Packard Enterprise,Senior Business Analyst,3,7.9L,3.6L,16.0L,42
7625,WNS,Senior Business Analyst,2,6.5L,3.0L,13.6L,42
3384,eClerx,Senior Business Analyst,2,4.2L,3.2L,6.0L,42
3526,Citibank,Senior Business Analyst,3,19.5L,8.2L,25.5L,42
1317,Odessa,Senior Business Analyst,3,16.2L,12.3L,24.0L,41
7098,Fidelity International,Senior Business Analyst,5,15.9L,13.5L,19.0L,40
5556,Ameriprise Financial,Senior Business Analyst,4,9.6L,6.2L,16.3L,40
2399,Tsys Card Tech Services,Senior Business Analyst,6,15.7L,12.5L,18.9L,40
5975,Merilytics,Senior Business Analyst,0,7.8L,6.5L,9.5L,40
7350,Barclays Global Service Centre,Senior Business Analyst,3,12.5L,5.0L,22.9L,40
5270,Unisys,Senior Business Analyst,5,12.7L,8.0L,17.3L,39
2018,Photon Interactive,Senior Business Analyst,4,9.9L,6.3L,15.0L,38
7004,Tata Technologies,Senior Business Analyst,4,8.7L,6.2L,14.0L,37
8937,Virtusa Consulting Services,Senior Business Analyst,5,15.8L,11.0L,22.5L,36
4665,Xceedance,Senior Business Analyst,5,13.4L,9.5L,18.6L,36
8147,Uber,Senior Business Analyst,2,13.4L,10.0L,19.0L,36
6091,CitiusTech,Senior Business Analyst,4,14.4L,9.5L,18.0L,35
2314,MetLife,Senior Business Analyst,0,6.0L,4.0L,9.3L,35
5942,eMids Technologies,Senior Business Analyst,5,15.3L,10.0L,21.0L,35
4161,Standard Chartered Global Business Services,Senior Business Analyst,7,18.4L,11.0L,29.9L,35
3593,D Cube Analytics,Senior Business Analyst,2,11.7L,9.2L,14.0L,35
1187,Novo Nordisk,Senior Business Analyst,6,15.7L,10.3L,21.0L,34
1860,Affine Analytics,Senior Business Analyst,1,10.0L,8.0L,13.6L,34
7981,Altisource,Senior Business Analyst,4,8.5L,5.2L,15.0L,33
4330,Mu Sigma,Senior Business Analyst,1,8.6L,6.3L,13.0L,32
